video_id,title,duration_sec,hashtags_count,views,likes,comments,shares,upload_hour,category
vid_1000,Short Video #0,43,9,198775,21933,3228,400,8,Tech
vid_1001,Short Video #1,56,2,290336,20063,3719,1942,16,Comedy
vid_1002,Short Video #2,33,6,264206,37032,3228,1817,7,Food
vid_1003,Short Video #3,19,9,85076,27269,2371,980,1,Lifestyle
vid_1004,Short Video #4,47,8,90780,8041,2891,1109,23,Tech
vid_1005,Short Video #5,12,3,153617,14488,3756,249,12,Travel
vid_1006,Short Video #6,25,0,22689,5669,4225,390,2,Tech
vid_1007,Short Video #7,43,1,274318,4400,94,1805,15,Tech
vid_1008,Short Video #8,23,0,351605,39137,2674,334,5,Comedy
vid_1009,Short Video #9,27,4,389318,36686,1955,628,18,Food
vid_1010,Short Video #10,15,4,366177,12115,793,1542,6,Travel
vid_1011,Short Video #11,15,6,10348,45102,1834,136,9,Education
vid_1012,Short Video #12,28,8,417930,6354,2116,882,8,Education
vid_1013,Short Video #13,57,8,39102,17244,4106,687,1,Tech
vid_1014,Short Video #14,40,2,75460,24314,3325,1863,14,Comedy
vid_1015,Short Video #15,44,2,365778,40218,2919,1521,4,Comedy
vid_1016,Short Video #16,28,2,90930,15283,2597,826,21,Education
vid_1017,Short Video #17,7,3,7801,6338,3205,726,3,Travel
vid_1018,Short Video #18,26,7,104150,6190,4807,1500,19,Food
vid_1019,Short Video #19,57,5,204339,11737,814,593,3,Travel
vid_1020,Short Video #20,6,7,180208,22515,345,1246,17,Lifestyle
vid_1021,Short Video #21,28,0,155697,24171,2349,989,3,Lifestyle
vid_1022,Short Video #22,48,7,214945,45515,362,371,16,Food
vid_1023,Short Video #23,34,3,232915,42779,2443,934,11,Education
vid_1024,Short Video #24,42,0,204664,41340,2265,994,21,Food
vid_1025,Short Video #25,6,7,209124,18371,2188,401,16,Comedy
vid_1026,Short Video #26,25,3,438477,36134,3005,1466,9,Lifestyle
vid_1027,Short Video #27,37,5,2542,33534,3281,1513,21,Tech
vid_1028,Short Video #28,16,7,284821,4288,984,614,0,Tech
vid_1029,Short Video #29,26,3,178804,49923,1639,1296,21,Education
vid_1030,Short Video #30,48,2,182415,10261,827,1549,23,Comedy
vid_1031,Short Video #31,29,8,40081,28832,2730,1182,17,Travel
vid_1032,Short Video #32,53,2,194928,11414,3531,1175,17,Comedy
vid_1033,Short Video #33,31,8,356249,24054,4451,994,13,Tech
vid_1034,Short Video #34,46,1,220930,21608,2935,619,14,Tech
vid_1035,Short Video #35,32,1,282209,22069,3876,187,11,Lifestyle
vid_1036,Short Video #36,20,1,215532,45759,126,1836,3,Comedy
vid_1037,Short Video #37,19,5,89092,37645,3177,1121,2,Comedy
vid_1038,Short Video #38,51,2,317837,36768,3056,130,19,Tech
vid_1039,Short Video #39,55,8,290106,23161,603,804,11,Travel
vid_1040,Short Video #40,48,3,29295,13816,3449,1194,6,Education
vid_1041,Short Video #41,59,0,14807,39849,4146,935,10,Education
vid_1042,Short Video #42,56,3,436564,39244,3533,985,0,Comedy
vid_1043,Short Video #43,7,0,158504,17007,3367,182,5,Education
vid_1044,Short Video #44,41,4,477501,18877,3368,982,14,Tech
vid_1045,Short Video #45,55,3,239067,27793,3797,363,14,Tech
vid_1046,Short Video #46,11,7,486008,43028,1792,38,18,Comedy
vid_1047,Short Video #47,25,7,452070,26429,2861,1550,10,Comedy
vid_1048,Short Video #48,13,6,434478,46992,3476,1911,22,Lifestyle
vid_1049,Short Video #49,43,2,169152,16382,3417,496,1,Comedy
vid_1050,Short Video #50,22,0,395540,23724,1645,1539,13,Travel
vid_1051,Short Video #51,8,0,354411,23421,1205,1372,1,Education
vid_1052,Short Video #52,29,2,167981,10588,3030,981,3,Comedy
vid_1053,Short Video #53,18,5,221411,22674,2872,920,16,Food
vid_1054,Short Video #54,54,6,20870,5340,3072,1420,2,Lifestyle
vid_1055,Short Video #55,13,5,428794,43321,1854,721,12,Food
vid_1056,Short Video #56,30,5,204196,10578,4021,1184,8,Tech
vid_1057,Short Video #57,57,5,249683,45262,4662,15,6,Education
vid_1058,Short Video #58,6,2,235677,19362,2708,492,14,Comedy
vid_1059,Short Video #59,24,5,27790,4532,3502,1449,22,Food
vid_1060,Short Video #60,32,7,119874,29821,1332,1131,10,Education
